song_name,artist_name,artist_id,release_date,album_name,Lyrics
#9 Dream,John Lennon,16450,"{'year': 1974, 'month': 9, 'day': 26}",Walls and Bridges," So long ago Was it in a dream, was it just a dream? I know, yes I know Seemed so very real, it seemed so real to me Took a walk down the street Through the heat whispered trees I thought I could hear, hear Hear, hear  Somebody call out my name (John) As it started to rain (John) Two spirits dancing so serene  Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé  Dream, dream away Magic in the air, was magic in the air? I believe, yes I believe More I cannot say, what more can I say?
On a river of sound Through the mirror go around, around I thought I could feel, feel Feel, feel  Music touching my soul (nhoJ) Something warm, sudden cold (nhoJ) The spirit dance was unfolding  Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé  Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé Ah! böwakawa poussé, poussé"
A Day In The Life,John Lennon,16450,,,"I read the news today, oh, boy About a lucky man whos made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights have changed A crowd of people stood and stared Theyd seen his face before Nobody was really sure if he was from the house of lords I saw a film today, oh, boy The english army had just won the war A crowd of people turned away But I just had to look Having read the book Id love to turn you on Woke up, fell out of bad Dragged a comb across my head Found my way downstairs and drank a cup And looking up, I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream
I saw the news today, oh, boy Four-thousand holes in blackburn, lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the albert hall Id love to turn you on"
Ain’t She Sweet,John Lennon,16450,,,"Ain't she sweet? Oh no, ain't she no, hang on, injection Oh me oh mum ain't that perfection? I repeat now! Ain't she nice? Well, look her over once or twice Well, I ask you very confidentially Ain't she nice (Scat sing) ""Ha ha ha"" ""Shall we record that, John?"""
Ain’t That a Shame,John Lennon,16450,"{'year': 1975, 'month': 2, 'day': 17}",Rock ‘N’ Roll," You made me cry When you said goodbye  Ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame  You broke my heart When you said we'd part  Ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame Boogie, baby!  (Ain't that a shame) (Ain't that a shame) (Look out)
 Farewell, goodbye Although I'll cry  Ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame Boogie, baby!  (Ain't that a shame) (Ain't that a shame) (Look out)  You made me cry When you said goodbye  Ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame"
Aisumasen (I’m Sorry),John Lennon,16450,"{'year': 1973, 'month': 10, 'day': 29}",Mind Games," When I'm down, really yin And I don't know what I'm doing Aisumasen , aisumasen, Yoko All I had to do was call your name All I had to do was call your name  And when I hurt you and cause you pain Darling, I promise I won't do it again Aisumasen, aisumasen, Yoko It's hard enough I know just to feel your own pain It's hard enough I know to feel, feel your own pain  All that I know is just what you tell me All that I know is just what you show me  When I'm down, real sanpaku And I don't know what to do Aisumasen, aisumasen, Yoko-san All I had to do was call your name Yes, all I had to do was call your name "
A Kiss Is Just a Kiss,John Lennon,16450,,,"You must remember this A kiss is just a kiss A fly is just a fly Right, and we're together A rose is a rose"
Alec Speaking,John Lennon,16450,,In His Own Write,"He is putting it lithely when he says Quobble in the Grass, Strab he down the soddieflays Amo amat amass; Amonk amink a minibus, Amarmylaidie Moon, Amikky mendip multiplus Amighty midgey spoon. And so I traddled onward Careing not a care Onward, Onward, Onward. Onward, my friends to victory and glory for the thirtyninth."
A letter,John Lennon,16450,"{'year': 1964, 'month': None, 'day': None}",In His Own Write,"Sir, Why are there not more pidgers and writty about our favourit group (Berneese und zee Rippers). There are thirty-nine of them, you know. We like it cause Alec jumb about and shoes. Pleese send a stabbed undressed envelope of Bern and Ern dancing and doing their splendid to entertain a most deserting group and we hope this fires you as you keeler. An admirrer. Afan."
All Abord Speeching,John Lennon,16450,,In His Own Write,"1. Speak you Clear and Nasal, for distance. 'Ron cordially begs to inform Mam all is forgiven.' Many peoble express great height with the word Mam. 2. Sing you with long voice. For discharge Deep breathing is Nescafe for a dark voice, deep breeding and in haley is very impotent for broadcastle and outlying ariels... visibility nil in Rockall and Fredastaire? Practice daily but not if you're debb and duff. 3. For sample, the word frenetically wrote, must be charged grammatically with bowel pronouned strangely. eg. 'While talking on you my Ivans are getting cold, and you know, as wеll as I do, that we must strive the Ivan whilе it is hat.' Regarth in Oxfam they speak 'Aivan' but in Caimbilge 'Oivan' the bowel thus strethed pronuned - piglo. Practice davy but not if your Mutt and Jeff."
Angel Baby,John Lennon,16450,"{'year': 1986, 'month': 11, 'day': 3}",Rock ‘N’ Roll," This tune is one of my all-time favourite songs Send my love to Rosie, where she may be  It’s just like heaven Being here with you You’re like an angel Too good to be true But after all, I love you, I do Angel baby, my angel baby  Ooh hoo I love you Ooh hoo I do No-one can love you like I do  When you are near me My heart skips a beat I can hardly stand on My own two feet Because I love you, I love you, I do Angel baby, my angel baby  Ooh hoo I love you Ooh hoo I do No-one can love you like I do
 Please never leave me Blue and alone If you ever go I’m sure you’ll come back home Because I love you, I love you, I do Angel baby, my angel baby  Ooh hoo I love you Ooh hoo I do No-one can love you like I do"
