Word,Count
one,91
two,32
three,20
four,15
well,81
seventeen,1
know,316
mean,13
way,60
looked,7
beyond,1
compare,1
dance,28
another,36
ooh,115
saw,14
standin,5
see,121
long,55
id,20
fall,2
love,505
wouldnt,12
woo,23
heart,16
went,8
boom,2
crossed,4
room,8
held,7
hand,15
mine,27
oh,169
danced,2
night,69
tight,32
fell,7
now,162
ill,112
never,75
yeah,213
standing,14
cause,40
tell,74
things,51
want,104
true,29
really,36
goes,23
show,23
blue,23
youre,102
happiness,8
still,28
makes,14
cry,57
time,97
youll,28
understand,16
reason,12
im,271
sad,20
ive,66
cant,95
believe,23
happened,3
conceive,2
misery,2
ask,14
say,129
always,33
thinking,7
hoo,17
last,9
said,80
words,27
girl,130
even,11
try,17
come,116
please,53
whoa,13
dont,207
need,201
woah,6
sound,7
complaining,1
theres,33
rain,25
pleasing,1
hard,28
make,77
someone,15
somebody,16
new,11
write,7
letter,5
send,13
remember,18
treasure,2
til,4
together,101
keep,10
forever,18
ps,4
coming,18
home,80
day,74
much,27
care,37
listen,20
secret,4
promise,4
closer,3
let,109
whisper,8
ear,4
hear,27
dodado,10
known,7
week,13
nobody,19
knows,8
place,23
go,86
feel,51
low,8
mind,50
alone,26
think,45
round,63
head,30
sorrow,2
therell,1
tomorrow,10
wont,51
till,19
belong,15
every,32
everybody,12
fun,7
sitting,10
left,10
good,94
tears,9
eyes,39
done,17
nothing,51
happy,20
leave,26
whenever,6
around,15
got,121
call,28
phone,8
running,7
thats,30
kiss,8
kissin,1
yes,86
will,111
runnin,1
close,7
miss,2
away,48
lovin,10
pretend,5
kissing,1
lips,3
missing,5
hope,10
dreams,13
darlin,2
huh,7
feels,7
right,72
hold,32
might,6
lonely,56
tonight,42
loving,10
making,15
means,2
oohooh,4
ooooh,1
made,19
use,2
wondering,6
youve,27
changed,18
change,27
giving,4
old,19
line,9
hurt,3
back,100
second,7
days,32
working,12
dog,7
sleeping,11
log,6
find,43
alright,39
work,3
money,32
buy,35
worth,3
gonna,108
give,40
everything,36
earth,7
moan,6
okay,10
seems,13
feeling,21
holding,7
ah,62
better,79
hey,63
realized,3
happen,3
lot,14
help,55
found,9
hands,8
must,10
sure,6
start,12
trust,3
run,17
hide,22
pride,4
couldnt,3
stand,5
pain,6
vain,2
learns,2
funny,2
rather,7
hug,1
world,44
tries,2
take,70
lets,16
face,14
discovered,1
youd,7
gives,5
tenderly,1
lover,5
brings,2
die,12
near,13
bright,5
stars,2
shine,7
dark,8
sky,31
cried,14
lied,8
gave,7
treat,17
bad,17
hang,1
something,15
apologize,1
beg,2
bended,2
knees,2
pleas,1
anything,6
diamond,8
ring,9
friend,17
may,22
tells,8
nonono,4
rings,6
satisfied,4
kind,21
ow,2
gotta,8
look,52
sorry,4
sympathize,1
sun,36
faded,1
shoulder,5
mad,17
lost,8
locked,1
today,25
instead,9
chip,1
bigger,1
feet,11
talk,3
people,41
meet,6
somehow,4
wanna,12
shy,3
stare,3
awayhey,2
someday,9
girls,9
break,16
hearts,13
em,2
man,60
thinkin,1
wishing,2
werent,3
far,6
end,14
dreaming,3
deep,4
lucky,8
though,24
blind,3
stay,16
enough,12
woahi,8
whole,7
ima,1
baby,62
triviality,1
whos,6
waiting,24
cows,1
walk,8
door,20
many,13
business,2
catch,6
talking,6
boy,32
going,44
flat,7
told,26
caught,4
sin,2
everybodys,9
green,14
won,3
theyd,5
seen,10
laugh,15
feelings,3
goodbye,29
came,20
wants,9
ohohohoh,7
trying,10
thought,11
realise,4
ran,3
big,8
surprise,5
hate,8
reply,4
wasnt,3
peep,1
window,7
light,9
tried,8
telephone,2
lie,5
nearly,9
died,8
walked,3
guy,4
forgive,2
lies,5
heard,3
loser,8
appear,5
million,4
win,4
although,2
act,3
clown,1
beneath,9
mask,1
wearing,6
frown,1
falling,1
deserve,1
fate,1
late,6
comes,13
telling,8
lose,30
gone,24
follow,6
ohohoh,1
babe,11
guess,3
aint,22
eight,12
everyday,2
thing,14
walking,1
beside,5
first,5
without,5
stop,12
little,54
loves,8
spoil,4
party,9
disappointment,2
disappear,3
turns,6
drink,4
shes,118
wonder,7
wrong,17
waited,2
glad,9
lying,6
crying,3
anybody,11
younger,8
needed,5
anybodys,4
self,4
assured,4
opened,5
doors,4
appreciate,6
ground,12
life,46
ways,3
independence,2
vanish,2
haze,2
insecure,2
goodbyes,1
unwise,2
sincere,3
turn,10
wall,2
twofoot,1
small,1
everywhere,10
hearing,1
seeing,1
state,2
gather,1
clowns,1
fool,19
sweeter,1
met,6
quite,3
thick,4
thin,2
unhappy,2
loo,2
point,5
taking,8
watch,2
driving,18
ticket,27
ride,29
living,11
bringing,4
free,12
riding,5
high,15
twice,12
gets,13
saying,5
sigh,8
inside,5
flies,3
butterflies,1
fight,1
sight,3
nighttime,1
havent,2
prove,1
apart,3
part,2
open,6
black,6
clouds,3
pass,1
put,3
hmm,4
forget,7
weve,3
mmmmmmmmmmmmmmmm,1
aware,1
dream,20
ladididindi,1
fallin,12
keeps,9
callin,6
missed,2
kept,3
dadandadanda,1
mmmmmmmmmladada,1
yesterday,23
troubles,2
seemed,2
looks,4
theyre,13
suddenly,8
half,7
used,5
shadow,2
hanging,2
easy,31
game,8
play,19
mmmmmmmmmmmmmmm,4
hmmhmm,2
asked,3
wanted,2
famous,1
star,5
screen,2
drive,8
car,9
maybe,9
prospects,1
understood,2
peanuts,1
fine,12
beepbeepmbeepbeep,6
breaking,1
driver,2
showed,1
isnt,14
norwegian,2
wood,3
sit,7
anywhere,1
noticed,1
chair,2
sat,1
rug,1
biding,1
drinking,1
wine,3
talked,1
bed,7
worked,2
morning,32
started,1
didnt,19
crawled,1
sleep,15
bath,1
awoke,1
bird,6
flown,1
lit,1
fire,3
lines,1
engaged,1
age,1
la,102
tied,2
turned,1
refuse,2
knew,13
filled,2
years,14
hes,16
real,10
nowhere,26
land,5
plans,4
doesnt,10
view,3
bit,6
aah,11
command,2
sees,5
worry,3
hurry,2
lends,1
michelle,12
ma,8
belle,8
uuuh,5
sont,6
les,6
mots,6
qui,6
vont,6
trs,12
bien,12
ensemble,12
hoping,6
mmm,6
story,2
regret,2
single,4
times,6
promises,1
puts,1
tit,64
friends,18
looking,16
acts,1
cool,4
young,5
lead,7
pleasure,2
earn,1
leisure,1
dead,25
different,3
moving,1
voice,2
soothing,1
arent,1
clear,1
learned,2
nasty,2
habit,2
disappearing,2
overnight,3
difference,1
sand,6
wicked,1
born,16
jealous,2
spend,2
toe,1
sermon,3
determined,1
na,12
eleanor,4
rigby,4
picks,4
rice,2
church,4
wedding,2
lives,6
waits,3
jar,2
father,7
mckenzie,4
writing,5
darning,2
socks,2
buried,2
along,4
name,37
wiping,2
dirt,2
walks,2
grave,2
saved,4
wake,5
early,4
lift,3
yawning,2
middle,6
float,5
stream,5
shake,3
lazy,4
crazy,3
speed,1
miles,3
uuuuh,2
keeping,3
eye,7
staring,1
ceiling,1
sleepy,1
yawn,1
paul,2
yawns,1
year,1
changing,2
wave,1
deny,1
hair,5
us,26
speaking,4
knowing,4
share,2
believing,4
dies,2
watching,6
town,6
lived,7
sailed,6
sea,14
submarines,3
waves,4
yellow,76
submarine,72
live,27
aboar,3
d,4
next,5
band,18
begins,7
full,11
steam,9
ahead,11
mister,5
boatswain,3
sergeant,3
cut,3
cable,6
drop,4
ayeaye,6
sir,6
captain,7
ease,6
haha,3
ready,3
sunshine,18
special,2
sunny,3
shining,3
burns,1
touch,4
shady,1
tree,4
proud,1
sing,30
seven,12
wonders,2
prized,1
possessions,1
weigh,1
direction,1
broken,7
bring,2
awoken,1
swing,1
breaks,3
aches,2
kindness,1
linger,1
longer,5
needs,4
wakes,1
takes,5
sign,3
behind,10
lasted,3
yet,3
says,7
ago,8
fill,4
doctor,16
robert,17
hell,7
helps,2
pick,7
cup,2
helping,1
anyone,3
succeed,1
works,3
national,2
health,1
pay,5
bob,2
took,12
road,26
wed,9
meant,4
relax,1
downstream,1
dying,4
lay,1
thoughts,2
