Song,Composer,Song ID,Lyrics,Sentiment,Sentiment Score
I Saw Her Standing There,McCartney,112197," One, two, three, four!  Well, she was just seventeen If you know what I mean And the way she looked was way beyond compare So how could I dance with another? , when I saw her standin' there?  Well, she looked at me And I, I could see That before too long, I'd fall in love with her She wouldn't dance with another , when I saw her standin' there  Well, my heart went boom When I crossed that room And I held her hand in mine  , we danced through the night And we held each other tight And before too long, I fell in love with her Now, I'll never dance with another , since I saw her standin' there
  Well, my heart went boom When I crossed that room And I held her hand in mine  , we danced through the night And we held each other tight And before too long, I fell in love with her Now, I'll never dance with another , since I saw her standin' there  , since I saw her standin' there Yeah, well, since I saw her standing there",,0.013929923996329308
Ask Me Why,Lennon,117714," I love you 'cause you tell me things I want to know And it's true that it really only goes to show that I know That I, I, I, I should never, never, never be blue  Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why if I cry It's not because I'm sad but you're the only love that I've ever had  I can't believe it's happened to me I can't conceive of any more misery  Ask me why, I'll say I love you and I'm always thinking of you, , ,   I love you 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I, I, I, I should never, never, never be blue  Ask me why, I'll say I love you and I'm always thinking of you, , ,   I can't believe it's happened to me I can't conceive of any more misery
 Ask me why, I'll say I love you and I'm always thinking of you, , ,  You, , , , you, , , ",,-0.2996412720531225
Please Please Me,Lennon,117715," Last night, I said these words to my girl ""I know you never even try, girl""  Come on (Come on), come on (Come on) Come on (Come on), come on (Come on) Please, please me, whoa, yeah, like I please you  You don't need me to show the way, love Why do I always have to say, love  ""Come on (Come on), Come on (Come on) Come on (Come on), Come on (Come on) Please, please me, woah, yeah, like I please you?""  I don't want to sound complaining But you know there's always rain in my heart (In my heart) I do all the pleasing with you, it's so hard to reason With you, woah, yeah, why do you make me blue?  Last night, I said these words to my girl ""Why do I never even try, girl?"" (""I know you never even try, girl"")
 Come on (Come on), Come on (Come on) Come on (Come on), Come on (Come on) Please, please me, woah, yeah, like I please you  Me, woah, yeah, like I please you Me, woah, yeah, like I please you",,-0.5120965172536671
Love Me Do,McCartney,117716," Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do  Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do  Someone to love Somebody new Someone to love Someone like you  Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do
  Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do Yeah, love me do  Whoa, , love me do Yeah, love me do Why don't you love me do?",,0.5958969114581123
P.S. I Love You,McCartney,117717," As I write this letter Send my love to you Remember that I'll always Be in love with you  Treasure these few words 'til we're together Keep all my love forever P.S. I love you You, you, you  I'll be coming home again to you, love And 'til the day I do, love P.S. I love you You, you, you  As I write this letter Send my love to you Remember that I'll always Be in love with you  Treasure these few words 'til we're together Keep all my love forever P.S. I love you You, you, you
 As I write this letter () Send my love to you (You know I want you to) Remember that I'll always (Yeah) Be in love with you  I'll be coming home again to you, love And 'til the day I do, love P.S. I love you You, you, you  You, you, you I love you",,0.499554798938334
Do You Want to Know a Secret,Lennon,117720," You'll never know how much I really love you You'll never know how much I really care  Listen Do you want to know a secret? Do you promise not to tell? Whoa, ,  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you,   Listen (Do--do) Do you want to know a secret? (Do--do) Do you promise not to tell? (Do--do) Whoa, ,  Closer (Do--do) Let me whisper in your ear (Do--do) Say the words you long to hear I'm in love with you,   I've known the secret for a week or two Nobody knows, just we two
 Listen (Do--do) Do you want to know a secret? (Do--do) Do you promise not to tell? (Do--do) Whoa, ,  Closer (Do--do) Let me whisper in your ear (Do--do) Say the words you long to hear I'm in love with you,  ",,-0.04982045665383339
There´s a Place,Lennon,117723," There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone  I think of you And things you do Go 'round my head The things you said Like ""I love only you""  In my mind, there's no sorrow Don't you know that it's so? There'll be no sad tomorrow Don't you know that it's so?  There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone
 There's a place There's a place There's a place There's a place",,0.17247849702835083
It Won´t Be Long,Lennon,123412," It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), till I belong to you  Every night when everybody has fun Here am I sitting all on my own  It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), till I belong to you  Since you left me, I'm so alone Now, you're coming, you're coming on home I'll be good like I know I should You're coming home, you're coming home  Every night, the tears come down from my eyes Every day, I've done nothing but cry  It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), till I belong to you
 , since you left me, I'm so alone Now you're coming, you're coming on home I'll be good like I know I should You're coming home, you're coming home  So every day, we'll be happy, I know Now, I know that you won't leave me no more  It won't be long, yeah (Yeah), yeah (Yeah), yeah (Yeah) It won't be long (Yeah), yeah (Yeah), yeah (Yeah) It won't be long, yeah (Yeah), till I belong to you",,0.14588790045430264
All I´ve Got to Do,Lennon,123414," Whenever I want you around, yeah All I got to do Is call you on the phone And you'll come running home Yeah, that's all I got to do  And when I, I want to kiss you, yeah All I got to do Is whisper in your ear The words you long to hear And I'll be kissin' you  And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me  And when I, I want to kiss you, yeah All I got to do Is call you on the phone And you'll come runnin' home Yeah, that's all I got to do
 And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me",,0.3180681890808046
All My Loving,McCartney,123415," Close your eyes and I'll kiss you Tomorrow, I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my lovin' to you  I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home every day And I'll send all my lovin' to you  All my lovin' (  ), I will send to you All my lovin' (  ), darlin', I'll be true  Close your eyes and I'll kiss you Tomorrow, I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my lovin' to you
 All my lovin' (  ), I will send to you All my lovin' (  ), darlin', I'll be true, huh  All my lovin' (  ), huh, all my lovin',  All my lovin' (  ), huh, I will send to you",,0.404595039668493
