song_name,artist_name,artist_id,release_date,album_name,lyrics,Category,Category Score
1882,Wings,348424,"{'year': 2018, 'month': 12, 'day': 7}",Red Rose Speedway," Good morning, young master It's 1882 Your mother is hungry What will you do? There is bread in the kitchen Of the big house upstairs But I warn you, don’t take it From them  You'll be tarred, you'll be feathered You’ll be hung like a ham And I warn you, don't do it Young man  Your mother is calling She wants you by the bed So get ready, young master Go shake your sleepy head Darling son, ""I am dying And I leave it to you As I'm leaving Tell me, what did I do? I am dying Tell me, what did I do?""
 Boys steals the bread, now Packs it up and heads for the door Man sees him coming Says ""boy you won't be running no more"" Boy gets arrested And the case is tested that day Judge finds him guilty And the jailer takes him away  Good morning, young master It's 25 to 9 They'll be coming, to get you In 20 minutes time  You'll be drawn, you'll be quartered You’ll be hung like ham And I warn you, get ready Young man, yeah  Say the boy, ""I am dying And I leave it to you As I’m leaving Tell me, what did I do? As I'm dying Tell me, what did I do?""",negative,-0.5394178234661618
4th of July,Wings,348424,"{'year': 2014, 'month': None, 'day': None}",Venus and Mars (Archive Collection)," Sunset's painting up the sky There's something in my eye Why am I crying? It's the fourth of July  Friends come up to me and say ""It's gonna be your day"" Why are they lying? On the fourth of July  Could it have something to do with the fact That I've been feeling blue since Friday? You came in with him again And, suddenly, I knew it wasn't my day  no, well, anyway Choo doo doo doo doo doo doo  Ch-ch-choo doo doo doo  Doo doo doo doo doo doo doo do  Could it have something to do with the fact That I've been feeling blue since Friday? You walked in with him again And, suddenly, I knew it wasn't my day  no, well, anyway , well, anyway Well, anyway  no no, well, anyway
 Sunset's painting up the sky There's something in my eye Why am I crying? On the fourth of July Why am I crying? On the fourth of July , why am I- why am I crying? It's the fourth of July",negative,-0.5859137373045087
After the Ball/Million Miles,Wings,348424,"{'year': 1979, 'month': 6, 'day': 8}",Back to the Egg,"  After the ball, after the ball You were the one out in the hall You were the one, the one who would love me After the ball After the ball, after the ball You were the one out in the hall You were the one, the one who would love me After the ball  Well, I arrived, looked around, but the room was full of strangers Nowhere was a friendly face to be found Later on, I awoke, but the party it was over There you were waiting to bring me around  After the ball, after the ball You were the one out in the hall You were the one, the one who would love me After the ball After the ball, after the ball You were the one out in the hall You were the one, the one who would love me After the ball
  How many million miles, Deo? How many million miles, Deo?  When I get up, up, up in the morning Whoa! Lord, I know When I look up, up, up in the evening Whoa! Lord, I know  How many million miles, Deo? How many million miles, Deo?  How many million miles, Deo?",neutral,-0.2493877187371254
After You’ve Gone,Wings,348424,"{'year': 1978, 'month': 6, 'day': 28}",Wings Greatest,"Now listen, honey, while I say How could you tell me that you gone away? Don't you say that we must part While you won't break my aching heart? You know I loved you true for many years Loved you night and day How can you leave me? Can't you see my tears And listen at me while I say? After you've gone Left me crying After you've gone Ain't no deny You feel blue You gon' feel sad You'll miss the best lovin' you ever had And there come a time Don't you forget it There comе a time When you'll regrеt it Someday when you grow lonely Your heart gon' break like mine You gon' want me only After you've gone After you've gone away
After you've gone After we break up After you've gone You sure gon' wake up You gon' find that You were blind To let somebody come around and change your mind After the years we've been together Through dawn and tears All kind of weather Someday, blue and down-hearted You wanna be with me Right back where you started After you've gone After you've gone away Yeah After you've gone After you've gone away",negative,-0.6422971688831846
Again and Again and Again,Wings,348424,"{'year': 1979, 'month': 6, 'day': 8}",Back to the Egg," , you don't want to be the little woman Now, you don't want to be the little woman I love No, no, no, no I love  , you don't want to stay in my school You don't want to be the one that's cool You don't want to be the little woman I love  You're up all night, and we could let it hang down right (Yeah!) I said goodbye to all my expectations The day you walked out of my life  Winter time is a-coming now Give me a sign if you can somehow Make it clear where you're heading for Will I see you someday at my door?  Taking it all into consideration Love's a game I never win I've been in very similar situations Again and again and again
 , no, you don't want to be the little woman You don't want to be the little woman I love I love  Now you don't want to stay in my home You just want be on your own Well you don't want to be the little woman I love Take it away!  Go down right  Well, things were fine all the summer long And then things changed, so where did we go wrong? We can run, but we cannot hide In greener grass on the other side  Taking it all into consideration Love's a game I never win I've been in very similar situations Again and again and again
 Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and again and again (And again, and again) Again and...",negative,-0.5156727621797472
Always thinking of you,Wings,348424,"{'year': 2016, 'month': 4, 'day': 23}",," Every morning I wake up I hope you're here I find it hard to get out of bed I don't feel myself, losing it My energy has left  Sun in my face Bun high up I burn trees to relive the stress Shades to hide my face You've been gone for so long so I made friends with Mary Jane There's something I don't know I'm hoping you tell Im hoping you tell me you're okay  You want me to stop burning blunts but you're not here Tell me where you at so I know Why don't you ever text me back To say good morning I'm thinking of ya Let me know you coming for me You put me last but for some reason I still love ya You put me last but for some reason  Sun in my face Bun high up I burn trees to relive the stress Shades to hide my face You've been gone for so long so I made friends with Mary Jane There's something I don't know Im hoping you tell me you're okay
 Always thinking of ya Always thinking of ya Always thinking of ya",negative,-0.5296414920594543
Arrow Through Me,Wings,348424,"{'year': 1979, 'month': 6, 'day': 8}",Back to the Egg," , baby, you couldn't have done A worse thing to me If you'd have taken an arrow And run it right through me,   , baby, a bird in the hand Is worth two flyin' But when it came to love I knew you'd be lyin'  It could have been a finer fling Would have been a major attraction With no other thing Offering a note of distraction Come on, get up Get under way And bring your love  , baby, you wouldn't have found A more down hero If you'd have started at nothin' And counted to zero
 (, , )  , baby, you couldn't have done A worse thing to me If you'd have taken an arrow And run it right through me  It could have been a finer fling Flyin' in a righter direction With no other thing Featurin' but love and affection Come on, get up Get under way And bring your love  , baby, you wouldn't have found A more down hero If you'd have started at nothin' And counted to zero",negative,-0.6952244429849088
Baby Face,Wings,348424,"{'year': 2014, 'month': 11, 'day': 4}",Venus and Mars (Archive Collection)," We'll get the chords right this time   Baby face, you've got the cutest little baby face There's not another who can take your place, whoa baby face My poor heart is jumpin', you sure have started somethin'  Baby face, I'm up in heaven when I'm in your firm embrace I didn't need a shove, I just went and fell in love With your pretty little baby Talk about a little baby Pretty, pretty little baby face   baby face, you've got the cutest littlе choochie face Therе's not another who can take your place My baby baby face Well my poor heart is jumpin' 'Cos you know you went and started somethin'  Baby face, I'm up in heaven when I'm in your firm embrace I didn't need a shove 'cos I went and fell in love With your pretty little baby Pretty little baby Talk about a little baby face",positive,0.5946575114503503
Baby’s Request,Wings,348424,"{'year': 1979, 'month': 6, 'day': 8}",Back to the Egg," When the moon lays his head on a pillow And the stars settle down for a rest Just do me one small favor, I beg you Please play me my baby's request  It's the song that we heard when we started Now the birds have all flown from our nest But you could bring back memories departed By playing my baby's request  My baby said That she knows how it goes, but you're the one that really knows So go ahead Just one more time and then we'll go to bed  But you could bring back memories departed By playing my baby's request  My baby said That she knows how it goes, but you're the one that really knows So go ahead Just one more time and then we'll go to bed
 When the moon lays his head on a pillow And the stars settle down for a rest Just do me one small favor, I beg you Please play me baby's request  Mhm, play me baby's request Please play me my baby's request One more time",neutral,-0.04135211929678917
Backwards Traveller,Wings,348424,"{'year': 1978, 'month': 3, 'day': 31}",London Town ," Hey, did you know that I'm Always going back in time? Rhyming slang, ""Auld Lang Syne"", my dears Through the years  I am the backwards traveller Ancient wool unraveller Sailing songs, wailing on the moon I am the backwards traveller Ancient wool unraveller Sailing songs, wailing on the moon  And we were sailing songs, wailing on the moon We were wailing on the moon",neutral,-0.07397852092981339
Backwards Traveller/Cuff Link,Wings,348424,"{'year': 2022, 'month': 12, 'day': 2}",,,neutral,0.0
