song_name,artist_name,artist_id,release_date,album_name,Lyrics
12-Bar Original,The Beatles,586,"{'year': 1996, 'month': 3, 'day': 18}",Anthology 2," One, two, three, four! "
1822!,The Beatles,586,"{'year': 1994, 'month': 11, 'day': 30}",Live At The BBC. Disk 2," This is a Dorsey Burnette number, brother of Johnny Burnette, called ""Lonesome Tears in My Eyes,"" recorded on their very first LP in 1822!  Ha!"
A Beginning,The Beatles,586,"{'year': 1996, 'month': 10, 'day': 28}",Anthology 3,
A Beginning (Take 4) / Don’t Pass Me By (Take 7),The Beatles,586,"{'year': 2018, 'month': 11, 'day': 9}",The Beatles (White Album) [Super Deluxe]," This is the introduction to Ringo's ""Don't Pass Me By"" Take 4   I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more?  I hear the clock a'ticking On the mantle shelf See the hands a'moving But I'm by myself I wonder where you are tonight And why I'm by myself I don't see you Does it mean you don't love me any more?
 Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry  I'm sorry that I doubted you I was so unfair You were in a car crash And you lost your hair You said that you would be late About an hour or two I said that's alright I'm waiting here Just waiting to hear from you  Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry
 I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more?  Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry  I'm waiting for you, honey Hurry up to me I don't want you to pass me by I don't want you to make me cry I want you to make me happy Happy, happy 'Cause that's what I want This is so friendly This is so friendly This is so friendly"
Across the Universe,The Beatles,586,"{'year': 1969, 'month': 12, 'day': 12}",Let It Be," Words are flowing out like endless rain into a paper cup They slither wildly as they slip away across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like a restless wind inside a letter box They tumble blindly as they make their way across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world
 Sounds of laughter, shades of life are ringing through my open ears Inciting and inviting me Limitless undying love which shines around me like a million suns It calls me on and on across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva"
Act Naturally,The Beatles,586,"{'year': 1965, 'month': 8, 'day': 6}",Help!," They're gonna put me in the movies They're gonna make a big star out of me We'll make a film about a man that's sad and lonely And all I gotta do is act naturally  Well I'll bet you I'm gonna be a big star Might win an Oscar, you can never tell The movies gonna make me a big star 'Cause I can play the part so well  Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally   We'll make the scene about a man that's sad and lonely And begging down upon his bended knee I'll play the part and I won't need rehearsing All I have to do is act naturally
 Well I'll bet you I'm gonna be a big star Might win an Oscar, you can never tell The movies gonna make me a big star 'Cause I can play the part so well  Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally"
A Day in the Life,The Beatles,586,"{'year': 1967, 'month': 5, 'day': 26}",Sgt. Pepper’s Lonely Hearts Club Band," I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords  I saw a film today, oh boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book  I'd love to turn you on (Seven, eight, nine, ten, eleven, twelve…) Alarm clock rings  Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream  Ahh-ah-ah-ah Ah-ah-ah, ah-ah-ahh  I read the news today, oh boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall  I'd love to turn you on  (Seven, eight, nine, ten, eleven, twelve…) Whistle Studio chatter (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?) (Never could be any other way) (Never been so high What’s that?)"
A Hard Day’s Night,The Beatles,586,"{'year': 1964, 'month': 7, 'day': 10}",A Hard Day’s Night," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on Earth should I moan? 'Cause when I get you alone You know I feel okay  When I'm home Everything seems to be right When I'm home Feeling you holding me tight, tight, yeah!  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah!
  So why on Earth should I moan ? 'Cause when I get you alone You know I feel okay  When I'm home Everything seems to be right When I'm home Feeling you holding me tight, tight, yeah!  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright  You know I feel alright You know I feel alright"
A Hard Day’s Night — Their First Movie,The Beatles,586,"{'year': 1964, 'month': 11, 'day': 23}",The Beatles’ Story," Narrator: After having enjoyed all the success a recording group could ever hope for and finally achieve, the height of their success is still nowhere in sight. Their record sales to date have reached a figure beyond all comprehension. The next obvious step to further the Beatle image was a move from the world of wax to the world of celluloid, and the medium of motion pictures... Narrator: The initial announcement that The Beatles were going to make a motion picture aroused immediate and predictable enthusiasm from fans, but Beatle critics also welcomed the news, with a cynical hope that exposure on film would expose The Beatles as entertainment world freaks long on hair but short on talent. Beatle enemies also smirked in anticipation of the poison-pen treatment which they forecast would come from America's hard-nosed motion picture critics. Described officially as a low-budget film with little or no storyline, it was given all the publicity treatment of a major spectacular. Interviews were granted, The Beatles said they had fun, didn't act; John Lennon even admitted that they couldn't act! John Lennon: ""Well this is as good as anybody who makes a film that can't act, you know?"" (Laughter) Narrator: Newspaper and magazine critics held their pen at ready. Previews were held and so were breaths. Then—surprise—the most competent reviewers hailed The Beatles' first motion picture as a smash hit. They were compared to the Marx Brothers and encouraged to do it again. Amazed readers, pre-conditioned to knock the movie, now made plans to see it. In England, Beatle manager Brian Epstein casually looked up from a masterplan of a future Beatle tour to announce that the movie would break every existing motion picture box office record. The Beatles? As usual, they were just busy being Beatles... John Lennon: ""Ringo, John, Paul, George. Ringo, John, Paul, George..."" Paul McCartney: ""All together now!"" The Beatles: ""Ringo, John, Paul, George. Yay!"" Paul McCartney: ""By Jove, they've got it!"" Narrator: An estimated one hundred million Americans have already seen The Beatles on television or at their neighborhood theaters. Hundreds of thousands more have seen The Beatles in person. And that's just one country in a Beatle marketplace that knows no limits. This is only the beginning, for almost everything The Beatles now do sets a new entertainment record..."
Ain’t Nothing Shakin’ (But The Leaves),The Beatles,586,"{'year': 1977, 'month': None, 'day': None}","Live! at the Star-Club in Hamburg, Germany; 1962"," I found it out, what love is all about And every day, it sure lets out I see my baby, I get weak in the knees 'Cause nothin's shakin' but the leaves on the tree My papi told me there'd be times like these There's nothin' shakin' but the leaves on the trees  We meet the gang and go to rockin' Joe's The cats are something on the heels and toes I grab my baby, tried to give her a squeeze There's nothin' shakin' but the leaves on the trees Well why must she be such a dog-gone tease? There's nothin' shakin' but the leaves on the trees  She's got a way that makes me act like a fool Spent my money, then she plays me cool I'm beggin' for her kisses on a bended knee Oh, won't you give me some-a lovin', baby Please, please, please  Though I keep trying hard to make her mine One day the wind will blow, the sun will shine Till that time, she puts my heart at ease There's nothin' shakin' but the leaves on the trees She locked my heart and threw away the keys There's nothin' shakin' but the leaves on the trees, yeah
  She's got a way that makes me act like a fool Spent my money, then she plays me cool I'm beggin' for her kisses on a bended knee Oh, won't you give me some-a lovin', baby Please, please, please  Though I keep trying hard to make her mine One day the wind will blow, the sun will shine Till that time, she puts my heart at ease There's nothin' shakin' but the leaves on the trees She locked my heart and threw away the keys There's nothin' shakin' but the leaves on the trees There's nothin' shakin' but the leaves on the trees There's nothin' shakin' but the leaves on the trees There's nothin' shakin' but the leaves on the trees"
