song_name,artist_name,artist_id,release_date,album_name,lyrics,Category,Category Score
222,Paul McCartney,1601,"{'year': 2007, 'month': 6, 'day': 4}",Memory Almost Full," , look at that Look at her walking Turning my head Taking my breath away , look at that Look at her walking Turning my head Taking my breath away Won’t you look at that? Look at her walking Turning my head Taking my breath away  Come on to me",neutral,-0.18331217765808105
About You,Paul McCartney,1601,"{'year': 2001, 'month': 11, 'day': 12}",Driving Rain," One, two, three, four!  You give me power to get out of bed When in the morning I'm feeling dead Living and loving there's a lot to be said It's true  Going to say it about you Say it about you  Out of the darkness and into the light Straight to the centre of everything right Darling, don't worry, the sky will be bright and blue  When I say it about you Going to say it about you I'll say it about you  When did you teach me to fly thru the air? Sooner or later, we all will be there I read the headlines, and now I can swear It's true
 And they said it about you Gonna say it about you Gonna say it about you Gonna say it about you Gonna say it about you Gonna say it about you",neutral,-0.1299871332012117
Ac-Cent-Tchu-Ate The Positive,Paul McCartney,1601,"{'year': 2012, 'month': 2, 'day': 16}",Kisses on the Bottom," You got to ac-cent-tchu-ate the positive E-lim-i-nate the negative Latch on to the affirmative Don't mess with Mister In-Between  You got to spread joy up to the maximum Bring gloom down to the minimum Have faith or pandemonium Liable to walk upon the scene  To illustrate my last remark Jonah in the whale and Noah in the ark What did they do, just when everything seemed so dark? Man, they said, we gotta  Ac-cent-tchu-ate the positive E-lim-i-nate the negative Latch on to the affirmative Don't mess with Mister In-Between 
 To illustrate my last remark Jonah in the whale and Noah in the ark What did they do, just when everything looked so dark? Man, they said, we better  Ac-cent-tchu-ate the positive E-lim-i-nate the negative Latch on to the affirmative Don't mess with Mister In-Between   no, don't go, they'll pave its way Too dark for you Don't mess with Mister In-Between",positive,0.4076885338872671
A Certain Softness,Paul McCartney,1601,"{'year': 2005, 'month': 9, 'day': 13}",Chaos and Creation in the Backyard," A certain softness in her eyes Fascinates me More than I ever thought it would (A certain softness) More than I ever thought it could A certain softness in her eyes Got me hooked Got me hooked  A kind of sadness in her smile Captivates me Surer than anything that's sure (A kind of sadness) Surer than anything before A kind of sadness in her smile Got me hooked Got me hooked Got me hooked  If I could even find the words to tell her I wouldn't want to anyway 'Cause that would only break the spell And you know very well I couldn't betray her
 A touch of wildness in her style Haunts my memory More than I ever thought it would (A touch of wildness) More than I ever thought it could A touch of wildness in her style Got me hooked Got me hooked Got me hooked  A certain softness in her eyes Fascinates me More than I ever thought it would (A certain softness) More than I ever thought it could A certain softness in her eyes Got me hooked Got me hooked",positive,0.4302962375804782
A Day in the Life,Paul McCartney,1601,,,"I read the news today,  boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords I saw a film today,  boy The English army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on (One) Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up, I noticed I was late (Huh, huh, huh, huh)
Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream ,      ,     ,   ,    I read the news today,  boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on",neutral,0.06975566956680268
A Day in the Life/Give Peace a Chance (Live at Citi Field),Paul McCartney,1601,"{'year': 2009, 'month': 11, 'day': 17}",Good Evening New York City,"  I read the news today,  boy About a lucky man who made the grade And though the news was rather sad Well I just had to laugh I saw the photograph  He blew his mind out in a car He didn’t notice that the lights had changed A crowd of people stood and stared They’d seen his face before Nobody was really sure If he was from the House of Lords  I saw a film today  boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book I’d love to turn you on 
 Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs And had a smoke And somebody spoke And I went into a dream   All we are saying is give peace a chance (Yeah) All we are saying is give peace a chance (Yeah, yeah) All we are saying is give peace a chance (Everybody sing) All we are saying is give peace a chance",neutral,-0.19156663864850998
A Fine Day (Soundcheck),Paul McCartney,1601,"{'year': 1993, 'month': 11, 'day': 8}",Paul is Live,"Now the weekend's here I plan to have some fun Take you out in my Oldsmobile, and head for the country, hon Say, hey! It's a fine day! Yeh, yeh, such a fine day Say, hey! It's a fine day! I hope to hear you headin' my way Yeh, yeh! It’s a fine day! Checkbook on another fine day Hey, hey! It’s a fine day! I’m glad to see you headin’ my way Friday night I took you dancin’! We danced all the way Sunday mornin’ we relaxin’ At your mother’s home Hey, it’s a fine day! Sha-yay-yeh-yeh-yeh-yeh-yeh it’s a fine day, fine day  yeh, it’s a fine day. I’m glad to see you headin’ my way  yeh yeh yeh yeh yeh Well, should leave I took her to the evening classes Where you learn to read a book Wednesday morning took me to the playground Were you lead to take a look? Hey! It’s a fine day! Yeh yeh, ha ha ha , such a fine day! Ha ha ha hey hey, it’s a fine day! I’m glad to see you headin’ my way  hey hey! It’s a fine day! Hey, hey! Such a fine day! Hey hey it’s a fine day! And I’m glad to see you headin’ my way Hey hey! A fine day! Hey such a fine day! hey it’s such a fine day!",positive,0.6012545230332762
African Yeah Yeah,Paul McCartney,1601,"{'year': 2018, 'month': 12, 'day': 7}",Red Rose Speedway,"Yeah, yeah, yeah, yeah, yeah Yeah-yeah-yeah, yeah, yeah, yeah, yeah, yeah, yeah Boh, boh, a-yeah, yeah, yeah, yeah, yeah Boh, boh, a-yeah, yeah, yeah, yeah, yeah ",neutral,0.11200542747974396
Again And Again And Again,Paul McCartney,1601,,,"Now you don't wanna be the little woman No you don't want to be the little woman I love. No, no, no, no. I love Now you don't wanna stay in my school You don't wanna be the one that's cool You don't wanna be the little woman I love",negative,-0.543582146987319
A Hard Day’s Night,Paul McCartney,1601,,,"John: It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you, i find the things that you do That make me feel alright John: You know i work all day, to get you money, to buy you things And it's worth it just to hear you say, you're gonna give me, everything So why on earth should i moan Cus when i get you alone You know I feel OK Paul: When I'm home, everything seems to be right When I'm home, feeling you holding me tight, tight Yeah John: It's been a hard day's night, and I've been working, like a dog It's been a hard day's night, I should be sleeping, like a log But when i get i get home to you I find the things that you do That make me feel alright (scream) owwww!
(guitar solo) John: So why on earth should i moan Cus when I get you alone You know I feel OK Paul: When I'm home everything seems to be right When I'm home, feeling you holding me tight, tight Yeah John: It's been a hard day's night, and I've been working, like a dog, It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you That make me feel alright You know I feel alright You know I feel alright",neutral,0.2367825284600258
Ain’t No Sunshine (Unplugged),Paul McCartney,1601,"{'year': 1991, 'month': 5, 'day': 20}",Unplugged (The Official Bootleg)," Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long Anytime she goes away  Wonder this time where she's gone Wonder if she's gonna stay Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away And I know, I know  Ain't no sunshine when she's gone Ain't no sunshine when she's gone Only darkness everyday Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away",negative,-0.6797352898865938
